,idestacion,radiacion,calidad
2023-01-10 16:48:00,6001,185.000000000000000,1
2023-01-10 16:49:00,6001,188.000000000000000,1
2023-01-10 16:50:00,6001,200.000000000000000,1
2023-01-10 16:51:00,6001,223.000000000000000,1
2023-01-10 16:52:00,6001,241.000000000000000,1
2023-01-10 16:53:00,6001,235.000000000000000,1
2023-01-10 16:54:00,6001,209.000000000000000,1
2023-01-10 16:55:00,6001,170.000000000000000,1
2023-01-10 16:56:00,6001,155.000000000000000,1
2023-01-10 16:57:00,6001,149.000000000000000,1
2023-01-10 16:58:00,6001,144.000000000000000,1
2023-01-10 16:59:00,6001,141.000000000000000,1
2023-01-10 17:00:00,6001,138.000000000000000,1
2023-01-10 17:01:00,6001,137.000000000000000,1
2023-01-10 17:02:00,6001,136.000000000000000,1
2023-01-10 17:03:00,6001,135.000000000000000,1
2023-01-10 17:04:00,6001,134.000000000000000,1
2023-01-10 17:05:00,6001,139.000000000000000,1
2023-01-10 17:06:00,6001,167.000000000000000,1
2023-01-10 17:07:00,6001,191.000000000000000,1
2023-01-10 17:08:00,6001,191.000000000000000,1
2023-01-10 17:09:00,6001,184.000000000000000,1
2023-01-10 17:10:00,6001,174.000000000000000,1
2023-01-10 17:11:00,6001,162.000000000000000,1
2023-01-10 17:12:00,6001,154.000000000000000,1
2023-01-10 17:13:00,6001,145.000000000000000,1
2023-01-10 17:14:00,6001,138.000000000000000,1
2023-01-10 17:15:00,6001,130.000000000000000,1
2023-01-10 17:16:00,6001,114.000000000000000,1
2023-01-10 17:17:00,6001,105.000000000000000,1
2023-01-10 17:18:00,6001,98.000000000000000,1
2023-01-10 17:19:00,6001,103.000000000000000,1
2023-01-10 17:20:00,6001,112.000000000000000,1
2023-01-10 17:21:00,6001,104.000000000000000,1
2023-01-10 17:22:00,6001,85.000000000000000,1
2023-01-10 17:23:00,6001,69.000000000000000,1
2023-01-10 17:24:00,6001,64.000000000000000,1
2023-01-10 17:25:00,6001,60.000000000000000,1
2023-01-10 17:26:00,6001,58.000000000000000,1
2023-01-10 17:27:00,6001,56.000000000000000,1
2023-01-10 17:28:00,6001,54.000000000000000,1
2023-01-10 17:29:00,6001,52.000000000000000,1
2023-01-10 17:30:00,6001,51.000000000000000,1
2023-01-10 17:31:00,6001,50.000000000000000,1
2023-01-10 17:32:00,6001,49.000000000000000,1
2023-01-10 17:33:00,6001,46.000000000000000,1
2023-01-10 17:34:00,6001,44.000000000000000,1
2023-01-10 17:35:00,6001,43.000000000000000,1
2023-01-10 17:36:00,6001,42.000000000000000,1
2023-01-10 17:37:00,6001,41.000000000000000,1
2023-01-10 17:38:00,6001,40.000000000000000,1
2023-01-10 17:39:00,6001,38.000000000000000,1
2023-01-10 17:40:00,6001,36.000000000000000,1
2023-01-10 17:41:00,6001,33.000000000000000,1
2023-01-10 17:42:00,6001,30.000000000000000,1
2023-01-10 17:43:00,6001,27.000000000000000,1
2023-01-10 17:44:00,6001,24.000000000000000,1
2023-01-10 17:45:00,6001,22.000000000000000,1
2023-01-10 17:46:00,6001,19.000000000000000,1
2023-01-10 17:47:00,6001,17.000000000000000,1583
2023-01-10 17:48:00,6001,15.000000000000000,1583
2023-01-10 17:49:00,6001,14.000000000000000,1583
2023-01-10 17:50:00,6001,12.000000000000000,1
2023-01-10 17:51:00,6001,11.000000000000000,1
2023-01-10 17:52:00,6001,10.000000000000000,1
2023-01-10 17:53:00,6001,9.000000000000000,1
2023-01-10 17:54:00,6001,8.000000000000000,1
2023-01-10 17:55:00,6001,6.000000000000000,1
2023-01-10 17:56:00,6001,5.000000000000000,1
2023-01-10 17:57:00,6001,4.000000000000000,1
2023-01-10 17:58:00,6001,3.000000000000000,1
2023-01-10 17:59:00,6001,2.000000000000000,1
2023-01-10 18:00:00,6001,1.000000000000000,1582
2023-01-10 18:01:00,6001,1.000000000000000,1582
2023-01-10 18:02:00,6001,0E-15,1
2023-01-10 18:03:00,6001,0E-15,1
2023-01-10 18:04:00,6001,0E-15,1
2023-01-10 18:05:00,6001,0E-15,1
2023-01-10 18:06:00,6001,0E-15,1
2023-01-10 18:07:00,6001,0E-15,1
2023-01-10 18:08:00,6001,0E-15,1
2023-01-10 18:09:00,6001,0E-15,1
2023-01-10 18:10:00,6001,-9999.0,1581
2023-01-10 18:11:00,6001,-9999.0,1581
2023-01-10 18:12:00,6001,-9999.0,1581
2023-01-10 18:13:00,6001,-9999.0,1581
2023-01-10 18:14:00,6001,-9999.0,1581
2023-01-10 18:15:00,6001,-9999.0,1581
2023-01-10 18:16:00,6001,-9999.0,1581
2023-01-10 18:17:00,6001,-9999.0,1581
2023-01-10 18:18:00,6001,-9999.0,1581
2023-01-10 18:19:00,6001,-9999.0,1581
2023-01-10 18:20:00,6001,-9999.0,1581
2023-01-10 18:21:00,6001,-9999.0,1581
2023-01-10 18:22:00,6001,-9999.0,1581
2023-01-10 18:23:00,6001,-9999.0,1581
2023-01-10 18:24:00,6001,-9999.0,1581
2023-01-10 18:25:00,6001,-9999.0,1581
2023-01-10 18:26:00,6001,-9999.0,1581
2023-01-10 18:27:00,6001,-9999.0,1581
2023-01-10 18:28:00,6001,-9999.0,1581
2023-01-10 18:29:00,6001,-9999.0,1581
2023-01-10 18:30:00,6001,-9999.0,1581
2023-01-10 18:31:00,6001,-9999.0,1581
2023-01-10 18:32:00,6001,-9999.0,1581
2023-01-10 18:33:00,6001,-9999.0,1581
2023-01-10 18:34:00,6001,-9999.0,1581
2023-01-10 18:35:00,6001,-9999.0,1581
2023-01-10 18:36:00,6001,-9999.0,1581
2023-01-10 18:37:00,6001,-9999.0,1581
2023-01-10 18:38:00,6001,-9999.0,1581
2023-01-10 18:39:00,6001,-9999.0,1581
2023-01-10 18:40:00,6001,-9999.0,1581
2023-01-10 18:41:00,6001,-9999.0,1581
2023-01-10 18:42:00,6001,-9999.0,1581
2023-01-10 18:43:00,6001,-9999.0,1581
2023-01-10 18:44:00,6001,-9999.0,1581
2023-01-10 18:45:00,6001,-9999.0,1581
2023-01-10 18:46:00,6001,-9999.0,1581
2023-01-10 18:47:00,6001,-9999.0,1581
2023-01-10 18:48:00,6001,-9999.0,1581
2023-01-10 18:49:00,6001,-9999.0,1581
2023-01-10 18:50:00,6001,-9999.0,1581
2023-01-10 18:51:00,6001,-9999.0,1581
2023-01-10 18:52:00,6001,-9999.0,1581
2023-01-10 18:53:00,6001,-9999.0,1581
2023-01-10 18:54:00,6001,-9999.0,1581
2023-01-10 18:55:00,6001,-9999.0,1581
2023-01-10 18:56:00,6001,-9999.0,1581
2023-01-10 18:57:00,6001,-9999.0,1581
2023-01-10 18:58:00,6001,-9999.0,1581
2023-01-10 18:59:00,6001,-9999.0,1581
2023-01-10 19:00:00,6001,-9999.0,1581
2023-01-10 19:01:00,6001,-9999.0,1581
2023-01-10 19:02:00,6001,-9999.0,1581
2023-01-10 19:03:00,6001,-9999.0,1581
2023-01-10 19:04:00,6001,-9999.0,1581
2023-01-10 19:05:00,6001,-9999.0,1581
2023-01-10 19:06:00,6001,-9999.0,1581
2023-01-10 19:07:00,6001,-9999.0,1581
2023-01-10 19:08:00,6001,-9999.0,1581
2023-01-10 19:09:00,6001,-9999.0,1581
2023-01-10 19:10:00,6001,-9999.0,1581
2023-01-10 19:11:00,6001,-9999.0,1581
2023-01-10 19:12:00,6001,-9999.0,1581
2023-01-10 19:13:00,6001,-9999.0,1581
2023-01-10 19:14:00,6001,-9999.0,1581
2023-01-10 19:15:00,6001,-9999.0,1581
2023-01-10 19:16:00,6001,-9999.0,1581
2023-01-10 19:17:00,6001,-9999.0,1581
2023-01-10 19:18:00,6001,-9999.0,1581
2023-01-10 19:19:00,6001,-9999.0,1581
2023-01-10 19:20:00,6001,-9999.0,1581
2023-01-10 19:21:00,6001,-9999.0,1581
2023-01-10 19:22:00,6001,-9999.0,1581
2023-01-10 19:23:00,6001,-9999.0,1581
2023-01-10 19:24:00,6001,-9999.0,1581
2023-01-10 19:25:00,6001,-9999.0,1581
2023-01-10 19:26:00,6001,-9999.0,1581
2023-01-10 19:27:00,6001,-9999.0,1581
2023-01-10 19:28:00,6001,-9999.0,1581
2023-01-10 19:29:00,6001,-9999.0,1581
2023-01-10 19:30:00,6001,-9999.0,1581
2023-01-10 19:31:00,6001,-9999.0,1581
2023-01-10 19:32:00,6001,-9999.0,1581
2023-01-10 19:33:00,6001,-9999.0,1581
2023-01-10 19:34:00,6001,-9999.0,1581
2023-01-10 19:35:00,6001,-9999.0,1581
2023-01-10 19:36:00,6001,-9999.0,1581
2023-01-10 19:37:00,6001,-9999.0,1581
2023-01-10 19:38:00,6001,-9999.0,1581
2023-01-10 19:39:00,6001,-9999.0,1581
2023-01-10 19:40:00,6001,-9999.0,1581
2023-01-10 19:41:00,6001,-9999.0,1581
2023-01-10 19:42:00,6001,-9999.0,1581
2023-01-10 19:43:00,6001,-9999.0,1581
2023-01-10 19:44:00,6001,-9999.0,1581
2023-01-10 19:45:00,6001,-9999.0,1581
2023-01-10 19:46:00,6001,-9999.0,1581
2023-01-10 19:47:00,6001,-9999.0,1581
2023-01-10 19:48:00,6001,-9999.0,1581
2023-01-10 19:49:00,6001,-9999.0,1581
2023-01-10 19:50:00,6001,-9999.0,1581
2023-01-10 19:51:00,6001,-9999.0,1581
2023-01-10 19:52:00,6001,-9999.0,1581
2023-01-10 19:53:00,6001,-9999.0,1581
2023-01-10 19:54:00,6001,-9999.0,1581
2023-01-10 19:55:00,6001,-9999.0,1581
2023-01-10 19:56:00,6001,-9999.0,1581
2023-01-10 19:57:00,6001,-9999.0,1581
2023-01-10 19:58:00,6001,-9999.0,1581
2023-01-10 19:59:00,6001,-9999.0,1581
2023-01-10 20:00:00,6001,-9999.0,1581
2023-01-10 20:01:00,6001,-9999.0,1581
2023-01-10 20:02:00,6001,-9999.0,1581
2023-01-10 20:03:00,6001,-9999.0,1581
2023-01-10 20:04:00,6001,-9999.0,1581
2023-01-10 20:05:00,6001,-9999.0,1581
2023-01-10 20:06:00,6001,-9999.0,1581
2023-01-10 20:07:00,6001,-9999.0,1581
2023-01-10 20:08:00,6001,-9999.0,1581
2023-01-10 20:09:00,6001,-9999.0,1581
2023-01-10 20:10:00,6001,-9999.0,1581
2023-01-10 20:11:00,6001,-9999.0,1581
2023-01-10 20:12:00,6001,-9999.0,1581
2023-01-10 20:13:00,6001,-9999.0,1581
2023-01-10 20:14:00,6001,-9999.0,1581
2023-01-10 20:15:00,6001,-9999.0,1581
2023-01-10 20:16:00,6001,-9999.0,1581
2023-01-10 20:17:00,6001,-9999.0,1581
2023-01-10 20:18:00,6001,-9999.0,1581
2023-01-10 20:19:00,6001,-9999.0,1581
2023-01-10 20:20:00,6001,-9999.0,1581
2023-01-10 20:21:00,6001,-9999.0,1581
2023-01-10 20:22:00,6001,-9999.0,1581
2023-01-10 20:23:00,6001,-9999.0,1581
2023-01-10 20:24:00,6001,-9999.0,1581
2023-01-10 20:25:00,6001,-9999.0,1581
2023-01-10 20:26:00,6001,-9999.0,1581
2023-01-10 20:27:00,6001,-9999.0,1581
2023-01-10 20:28:00,6001,-9999.0,1581
2023-01-10 20:29:00,6001,-9999.0,1581
2023-01-10 20:30:00,6001,-9999.0,1581
2023-01-10 20:31:00,6001,-9999.0,1581
2023-01-10 20:32:00,6001,-9999.0,1581
2023-01-10 20:33:00,6001,-9999.0,1581
2023-01-10 20:34:00,6001,-9999.0,1581
2023-01-10 20:35:00,6001,-9999.0,1581
2023-01-10 20:36:00,6001,-9999.0,1581
2023-01-10 20:37:00,6001,-9999.0,1581
2023-01-10 20:38:00,6001,-9999.0,1581
2023-01-10 20:39:00,6001,-9999.0,1581
2023-01-10 20:40:00,6001,-9999.0,1581
2023-01-10 20:41:00,6001,-9999.0,1581
2023-01-10 20:42:00,6001,-9999.0,1581
2023-01-10 20:43:00,6001,-9999.0,1581
2023-01-10 20:44:00,6001,-9999.0,1581
2023-01-10 20:45:00,6001,-9999.0,1581
2023-01-10 20:46:00,6001,-9999.0,1581
2023-01-10 20:47:00,6001,-9999.0,1581
2023-01-10 20:48:00,6001,-9999.0,1581
2023-01-10 20:49:00,6001,-9999.0,1581
2023-01-10 20:50:00,6001,-9999.0,1581
2023-01-10 20:51:00,6001,-9999.0,1581
2023-01-10 20:52:00,6001,-9999.0,1581
2023-01-10 20:53:00,6001,-9999.0,1581
2023-01-10 20:54:00,6001,-9999.0,1581
2023-01-10 20:55:00,6001,-9999.0,1581
2023-01-10 20:56:00,6001,-9999.0,1581
2023-01-10 20:57:00,6001,-9999.0,1581
2023-01-10 20:58:00,6001,-9999.0,1581
2023-01-10 20:59:00,6001,-9999.0,1581
2023-01-10 21:00:00,6001,-9999.0,1581
2023-01-10 21:01:00,6001,-9999.0,1581
2023-01-10 21:02:00,6001,-9999.0,1581
2023-01-10 21:03:00,6001,-9999.0,1581
2023-01-10 21:04:00,6001,-9999.0,1581
2023-01-10 21:05:00,6001,-9999.0,1581
2023-01-10 21:06:00,6001,-9999.0,1581
2023-01-10 21:07:00,6001,-9999.0,1581
2023-01-10 21:08:00,6001,-9999.0,1581
2023-01-10 21:09:00,6001,-9999.0,1581
2023-01-10 21:10:00,6001,-9999.0,1581
2023-01-10 21:11:00,6001,-9999.0,1581
2023-01-10 21:12:00,6001,-9999.0,1581
2023-01-10 21:13:00,6001,-9999.0,1581
2023-01-10 21:14:00,6001,-9999.0,1581
2023-01-10 21:15:00,6001,-9999.0,1581
2023-01-10 21:16:00,6001,-9999.0,1581
2023-01-10 21:17:00,6001,-9999.0,1581
2023-01-10 21:18:00,6001,-9999.0,1581
